#bin	chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	type
1885	chr3	170423102	170423162	hsa-mir-6828	0	+	0	0	miRNA
1890	chr3	171106663	171106759	hsa-mir-569	0	-	0	0	miRNA
1922	chr3	175369539	175369621	hsa-mir-4789	0	+	0	0	miRNA
1931	chr3	176515102	176515151	hsa-mir-7977	0	+	0	0	miRNA
1987	chr3	183886799	183886885	hsa-mir-4448	0	+	0	0	miRNA
1990	chr3	184241404	184241489	hsa-mir-1224	0	+	0	0	miRNA
1998	chr3	185253209	185253272	hsa-mir-5588	0	-	0	0	miRNA
2002	chr3	185767846	185767904	hsa-mir-548aq	0	-	0	0	miRNA
2010	chr3	186786671	186786777	hsa-mir-1248	0	+	0	0	miRNA
2024	chr3	188688780	188688866	hsa-mir-28	0	+	0	0	miRNA
2033	chr3	189829921	189830009	hsa-mir-944	0	+	0	0	miRNA
2073	chr3	195134505	195134580	hsa-mir-3137	0	-	0	0	miRNA
2078	chr3	195699400	195699497	hsa-mir-570	0	+	0	0	miRNA
2079	chr3	195882328	195882395	hsa-mir-6829	0	-	0	0	miRNA
2090	chr3	197293877	197293948	hsa-mir-4797	0	-	0	0	miRNA
2093	chr3	197674495	197674576	hsa-mir-922	0	-	0	0	miRNA
587	chr4	350156	350252	hsa-mir-571	0	+	0	0	miRNA
600	chr4	1986383	1986477	hsa-mir-943	0	-	0	0	miRNA
602	chr4	2250076	2250156	hsa-mir-4800	0	-	0	0	miRNA
630	chr4	5923274	5923328	hsa-mir-378d-1	0	-	0	0	miRNA
640	chr4	7310449	7310524	hsa-mir-4798	0	+	0	0	miRNA
641	chr4	7460027	7460118	hsa-mir-4274	0	+	0	0	miRNA
646	chr4	8005300	8005381	hsa-mir-95	0	-	0	0	miRNA
661	chr4	10078610	10078692	hsa-mir-3138	0	-	0	0	miRNA
671	chr4	11368826	11368921	hsa-mir-572	0	+	0	0	miRNA
674	chr4	11783177	11783248	hsa-mir-12113	0	+	0	0	miRNA
688	chr4	13627864	13627957	hsa-mir-5091	0	+	0	0	miRNA
741	chr4	20528274	20528384	hsa-mir-218-1	0	+	0	0	miRNA
748	chr4	21464699	21464758	hsa-mir-7978	0	-	0	0	miRNA
756	chr4	22515311	22515385	hsa-mir-12115	0	+	0	0	miRNA
772	chr4	24520191	24520290	hsa-mir-573	0	-	0	0	miRNA
804	chr4	28819581	28819668	hsa-mir-4275	0	+	0	0	miRNA
862	chr4	36426365	36426428	hsa-mir-1255b-1	0	-	0	0	miRNA
869	chr4	37241909	37241991	hsa-mir-4801	0	-	0	0	miRNA
881	chr4	38868031	38868127	hsa-mir-574	0	+	0	0	miRNA
885	chr4	39411909	39411974	hsa-mir-5591	0	+	0	0	miRNA
894	chr4	40502039	40502119	hsa-mir-4802	0	-	0	0	miRNA
948	chr4	47652668	47652743	hsa-mir-8053	0	+	0	0	miRNA
987	chr4	52712681	52712747	hsa-mir-4449	0	+	0	0	miRNA
1049	chr4	60922618	60922684	hsa-mir-548ag-1	0	+	0	0	miRNA
1090	chr4	66276823	66276928	hsa-mir-1269a	0	+	0	0	miRNA
1169	chr4	76573567	76573632	hsa-mir-4450	0	+	0	0	miRNA
1169	chr4	76575550	76575626	hsa-mir-548ah	0	+	0	0	miRNA
1216	chr4	82753336	82753430	hsa-mir-575	0	-	0	0	miRNA
1239	chr4	85722467	85722533	hsa-mir-4451	0	+	0	0	miRNA
