ID	Var
hsa-miR-6768-5p	coffee
hsa-miR-10392-5p	coffee
hsa-miR-765-5p	coffee
hsa-miR-182-3p	coffee
hsa-miR-92a-1-5p	coffee
hsa-miR-206-5p	coffee
hsa-miR-92b-5p	coffee
hsa-miR-5189-3p	coffee
hsa-miR-645	coffee
hsa-miR-2110	physact
hsa-miR-4452	physact
hsa-miR-550a-3-5p	physact
hsa-miR-550b-3p	physact
hsa-miR-1285-3p	physact
hsa-miR-143-3p	physact
hsa-miR-148a-3p	physact
hsa-miR-194-1-3p	physact
hsa-miR-194-3p	physact
hsa-miR-199a-3p, hsa-miR-199b-3p	physact
hsa-miR-200c-3p	physact
hsa-miR-2278-3p	physact
hsa-miR-324-5p	physact
hsa-miR-3652-3p	physact
hsa-miR-378a-3p	physact
hsa-miR-378j-3p	physact
hsa-miR-3920	physact
hsa-miR-4290	physact
hsa-miR-4311	physact
hsa-miR-5006-5p	physact
hsa-miR-607-5p	physact
hsa-miR-6131-5p	physact
hsa-miR-6790-5p	physact
hsa-miR-8057-3p	physact
hsa-miR-8086	physact
hsa-miR-944-5p	physact
hsa-miR-9899	physact
hsa-miR-99b-3p	physact
hsa-miR-6083	physact
hsa-miR-6127-3p	physact
