ID;N°samples > 10 reads;Median;Chromosome;Start;End;Strand;
hsa-miR-1180-5p;7;0.00;17;19344506;19344574;-;
hsa-miR-1181;46;3.70;19;10403458;10403538;-;
hsa-miR-1181-3p:Novel;220;58.06;19;10403458;10403538;-;
hsa-miR-1182;51;5.14;1;231019828;231019924;-;
hsa-miR-1182-5p:Novel;44;3.20;1;231019828;231019924;-;
hsa-miR-1183;18;2.04;7;21471058;21471146;+;
hsa-miR-1183-5p:Novel;45;4.69;7;21471058;21471146;+;
hsa-miR-1184;140;12.63;X;155457517;155457615;+;
hsa-miR-1184-5p:Novel;13;1.96;X;155457517;155457615;+;
hsa-miR-1185-3p;1;0.00;14;101044198;101044283;+;
hsa-miR-1185-5p;1;0.00;14;101044198;101044283;+;
hsa-miR-1193;19;2.10;14;101030052;101030129;+;
hsa-miR-1193-3p:Novel;100;7.60;14;101030052;101030129;+;
hsa-miR-1197;19;1.33;14;101025564;101025651;+;
hsa-miR-1197-5p:Novel;10;0.88;14;101025564;101025651;+;
hsa-miR-1199-3p;17;2.24;19;14073361;14073479;+;
hsa-miR-1199-5p;16;1.65;19;14073361;14073479;+;
hsa-miR-1200;28;1.96;7;36919357;36919432;-;
hsa-miR-1200-3p:Novel;35;3.42;7;36919357;36919432;-;
hsa-miR-1202;155;18.45;6;155946797;155946879;+;
hsa-miR-1202-3p:Novel;133;12.60;6;155946797;155946879;+;
hsa-miR-1203;204;61.18;17;48156427;48156511;-;
hsa-miR-1203-3p:Novel;6;0.77;17;48156427;48156511;-;
hsa-miR-1204;65;3.55;8;127795962;127796028;+;
hsa-miR-1204-3p:Novel;3;0.66;8;127795962;127796028;+;
hsa-miR-1205;3;0.00;8;127960633;127960695;+;
hsa-miR-1205-3p:Novel;4;0.98;8;127960633;127960695;+;
hsa-miR-1206;0;0.00;8;128008898;128008956;+;
hsa-miR-1206-3p:Novel;2;0.41;8;128008898;128008956;+;
hsa-miR-1207-3p;0;0.00;8;128049152;128049238;+;
hsa-miR-1207-5p;18;2.93;8;128049152;128049238;+;
hsa-miR-1208;9;1.58;8;128150116;128150188;+;
hsa-miR-1208-3p:Novel;50;5.41;8;128150116;128150188;+;
hsa-miR-12113;1;0.00;4;11783178;11783248;+;
hsa-miR-12113-3p:Novel;8;0.69;4;11783178;11783248;+;
hsa-miR-12114;3;0.54;22;50407442;50407524;+;
hsa-miR-12114-3p:Novel;45;1.63;22;50407442;50407524;+;
hsa-miR-12115;12;1.17;4;22515312;22515385;+;
hsa-miR-12115-3p:Novel;41;2.45;4;22515312;22515385;+;
hsa-miR-12116;9;2.01;1;179803924;179804025;+;
hsa-miR-12116-3p:Novel;6;1.65;1;179803924;179804025;+;
hsa-miR-12117;7;0.88;9;33108692;33108765;+;
hsa-miR-12117-3p:Novel;99;7.41;9;33108692;33108765;+;
hsa-miR-12118;55;3.01;5;173303730;173303817;+;
hsa-miR-12118-3p:Novel;225;51.75;5;173303730;173303817;+;
hsa-miR-12119;73;5.86;7;99409172;99409264;+;
hsa-miR-12119-3p:Novel;43;2.04;7;99409172;99409264;+;
hsa-miR-12120;14;0.65;Y;13479177;13479266;+;
hsa-miR-12120-3p:Novel;117;10.38;Y;13479177;13479266;+;
hsa-miR-12121;213;43.43;14;104865314;104865411;+;
hsa-miR-12121-3p:Novel;71;6.12;14;104865314;104865411;+;
hsa-miR-12122;3;1.45;20;49863859;49863953;+;
hsa-miR-12122-3p:Novel;22;1.94;20;49863859;49863953;+;
hsa-miR-12123;137;13.64;8;79332188;79332274;+;
hsa-miR-12123-3p:Novel;4;0.00;8;79332188;79332274;+;
hsa-miR-12124;40;2.93;3;128846808;128846908;+;
hsa-miR-12124-5p:Novel;58;3.53;3;128846808;128846908;+;
hsa-miR-12125;29;2.59;5;168165845;168165929;+;
hsa-miR-12125-5p:Novel;10;0.50;5;168165845;168165929;+;
hsa-miR-12126;23;2.82;9;130241387;130241488;+;
hsa-miR-12126-5p:Novel;178;32.52;9;130241387;130241488;+;
hsa-miR-12127;174;18.45;3;10280351;10280452;+;
hsa-miR-12127-5p:Novel;36;1.71;3;10280351;10280452;+;
hsa-miR-12128;110;9.48;16;85207796;85207895;+;
hsa-miR-12128-5p:Novel;9;1.66;16;85207796;85207895;+;
hsa-miR-12129;5;0.52;X;153335462;153335537;+;
hsa-miR-12129-5p:Novel;8;0.00;X;153335462;153335537;+;
hsa-miR-12130;3;0.51;5;116255743;116255834;+;
hsa-miR-12130-5p:Novel;3;0.00;5;116255743;116255834;+;
hsa-miR-12131;7;1.02;6;151102675;151102776;+;
hsa-miR-12131-5p:Novel;6;0.00;6;151102675;151102776;+;
hsa-miR-12132;18;0.81;1;61846075;61846176;+;
hsa-miR-12132-5p:Novel;5;1.06;1;61846075;61846176;+;
hsa-miR-12133;0;0.00;1;94543702;94543779;+;
hsa-miR-12133-5p:Novel;0;0.00;1;94543702;94543779;+;
hsa-miR-12135;10;1.07;15;73299910;73299979;+;
hsa-miR-12135-5p:Novel;4;0.00;15;73299910;73299979;+;
hsa-miR-12136;227;53.84;1;632615;632685;-;
hsa-miR-12136-3p:Novel;163;16.56;1;632615;632685;-;
hsa-miR-122-3p;0;0.00;18;58451074;58451158;+;
hsa-miR-122-5p;94;8.08;18;58451074;58451158;+;
hsa-miR-1224-3p;1;0.00;3;184241405;184241489;+;
hsa-miR-1224-5p;21;2.67;3;184241405;184241489;+;
hsa-miR-1225-3p;3;0.58;16;2090195;2090284;-;
hsa-miR-1225-5p;4;0.77;16;2090195;2090284;-;
hsa-miR-1226-3p;1;0.00;3;47849555;47849629;+;
hsa-miR-1226-5p;3;1.03;3;47849555;47849629;+;
hsa-miR-1227-3p;0;0.00;19;2234062;2234149;-;
hsa-miR-1227-5p;13;0.69;19;2234062;2234149;-;
hsa-miR-1228-3p;6;0.60;12;57194504;57194576;+;
hsa-miR-1228-5p;29;2.74;12;57194504;57194576;+;
hsa-miR-1229-3p;0;0.00;5;179798278;179798346;-;
hsa-miR-1229-5p;147;14.20;5;179798278;179798346;-;
hsa-miR-122b-3p;1;0.00;18;58451080;58451152;-;
hsa-miR-122b-5p;2;0.00;18;58451080;58451152;-;
hsa-miR-1231;150;12.56;1;201808611;201808702;+;
hsa-miR-1231-3p:Novel;164;15.81;1;201808611;201808702;+;
hsa-miR-1233-3p;88;7.71;15;34528290;34528371;-;
hsa-miR-1233-5p;34;3.11;15;34528290;34528371;-;
hsa-miR-1234-3p;0;0.00;8;144400086;144400165;-;
hsa-miR-1234-5p:Novel;24;2.13;8;144400086;144400165;-;
hsa-miR-1236-3p;0;0.00;6;31956839;31956940;-;
hsa-miR-1236-5p;48;4.13;6;31956839;31956940;-;
hsa-miR-1237-5p;24;3.18;11;64368602;64368703;+;
hsa-miR-1238-3p;1;0.00;19;10552122;10552204;+;
hsa-miR-1238-5p;0;0.55;19;10552122;10552204;+;
hsa-miR-124-3p;70;6.71;20;63178500;63178586;+;
hsa-miR-124-5p;171;20.17;20;63178500;63178586;+;
hsa-miR-1243;1;0.00;4;113106863;113106955;+;
hsa-miR-1243-3p:Novel;30;3.18;4;113106863;113106955;+;
hsa-miR-1244;20;1.75;12;12111952;12112036;+;
hsa-miR-1244-5p:Novel;1;0.00;12;12111952;12112036;+;
hsa-miR-1245a;0;0.00;2;188978092;188978161;+;
hsa-miR-1245a-5p:Novel;0;0.00;2;188978092;188978161;+;
hsa-miR-1245b-3p;2;0.00;2;188978093;188978161;-;
hsa-miR-1245b-5p;0;0.00;2;188978093;188978161;-;
hsa-miR-1246;2;0.00;2;176600980;176601052;-;
hsa-miR-1246-3p:Novel;232;674.19;2;176600980;176601052;-;
hsa-miR-1247-3p;25;1.94;14;101560287;101560422;-;
hsa-miR-1247-5p;1;0.00;14;101560287;101560422;-;
hsa-miR-1248;1;0.00;3;186786672;186786777;+;
hsa-miR-1248-3p:Novel;9;0.69;3;186786672;186786777;+;
hsa-miR-1249-3p;15;0.19;22;45200954;45201019;-;
hsa-miR-1249-5p;10;1.74;22;45200954;45201019;-;
hsa-miR-1250-3p;0;0.00;17;81133196;81133308;-;
hsa-miR-1250-5p;112;9.73;17;81133196;81133308;-;
hsa-miR-1251-3p;13;1.15;12;97491909;97491978;+;
hsa-miR-1251-5p;1;0.00;12;97491909;97491978;+;
hsa-miR-1252-3p;6;0.70;12;79419257;79419321;+;
hsa-miR-1252-5p;2;0.40;12;79419257;79419321;+;
hsa-miR-1253;51;3.22;17;2748078;2748182;-;
hsa-miR-1253-3p:Novel;54;5.65;17;2748078;2748182;-;
hsa-miR-1255a;14;1.23;4;101330302;101330414;-;
hsa-miR-1255a-3p:Novel;24;2.38;4;101330302;101330414;-;
hsa-miR-1255b-1-3p:Novel;1;0.00;4;36426366;36426428;-;
hsa-miR-1255b-2-3p;0;0.00;1;167998660;167998726;+;
hsa-miR-1255b-5p;115;9.78;1;167998660;167998726;+;
hsa-miR-1256;11;1.26;1;20988314;20988432;-;
hsa-miR-1256-3p:Novel;11;2.07;1;20988314;20988432;-;
hsa-miR-1257;98;7.93;20;61953546;61953662;-;
hsa-miR-1257-3p:Novel;106;8.85;20;61953546;61953662;-;
hsa-miR-1258;25;3.10;2;179860836;179860908;-;
hsa-miR-1258-5p:Novel;1;0.00;2;179860836;179860908;-;
hsa-miR-125a-3p;3;0.87;19;51693254;51693339;+;
hsa-miR-125a-5p;4;0.10;19;51693254;51693339;+;
hsa-miR-125b-1-3p;12;1.03;11;122099757;122099844;-;
hsa-miR-125b-2-3p;8;1.49;21;16590237;16590325;+;
hsa-miR-125b-5p;102;8.69;21;16590237;16590325;+;
hsa-miR-126-3p;14;0.45;9;136670602;136670686;+;
hsa-miR-126-5p;18;1.19;9;136670602;136670686;+;
hsa-miR-1260a;7;0.60;14;77266218;77266290;+;
hsa-miR-1260a-3p:Novel;134;12.15;14;77266218;77266290;+;
hsa-miR-1260b;193;29.10;11;96341438;96341526;+;
hsa-miR-1260b-3p:Novel;41;3.93;11;96341438;96341526;+;
hsa-miR-1261;18;1.06;11;90869121;90869202;-;
hsa-miR-1261-3p:Novel;36;3.34;11;90869121;90869202;-;
hsa-miR-1262;2;0.00;1;68183518;68183610;-;
hsa-miR-1262-3p:Novel;79;6.50;1;68183518;68183610;-;
hsa-miR-1263;16;1.32;3;164171471;164171556;-;
hsa-miR-1263-3p:Novel;5;0.84;3;164171471;164171556;-;
hsa-miR-1264;0;0.00;X;114652655;114652723;+;
hsa-miR-1264-5p:Novel;1;0.00;X;114652655;114652723;+;
hsa-miR-1265;0;0.00;10;14436576;14436661;+;
hsa-miR-1265-3p:Novel;50;5.28;10;14436576;14436661;+;
hsa-miR-1266-3p;3;0.00;15;52277117;52277200;-;
hsa-miR-1266-5p;2;0.28;15;52277117;52277200;-;
hsa-miR-1267;57;4.06;13;107531171;107531248;-;
hsa-miR-1267-3p:Novel;193;23.17;13;107531171;107531248;-;
hsa-miR-1268a;6;0.88;15;22225278;22225329;-;
hsa-miR-1268a-3p:Novel;52;5.42;15;22225278;22225329;-;
hsa-miR-1268b;1;0.00;17;80098828;80098877;+;
hsa-miR-1268b-3p:Novel;35;3.97;17;80098828;80098877;+;
hsa-miR-1269a;45;4.39;4;66276824;66276928;+;
hsa-miR-1269a-5p:Novel;21;1.35;4;66276824;66276928;+;
hsa-miR-1269b;0;0.00;17;12917268;12917342;-;
hsa-miR-1269b-3p:Novel;19;2.09;17;12917268;12917342;-;
hsa-miR-127-3p;14;1.41;14;100882979;100883075;+;
hsa-miR-127-5p;10;1.36;14;100882979;100883075;+;
hsa-miR-1270;18;1.26;19;20399272;20399354;-;
hsa-miR-1270-3p:Novel;61;4.71;19;20399272;20399354;-;
hsa-miR-1271-3p;8;0.12;5;176367946;176368031;+;
hsa-miR-1271-5p;0;0.00;5;176367946;176368031;+;
hsa-miR-1272;224;42.58;15;64762387;64762515;-;
hsa-miR-1272-3p:Novel;123;10.60;15;64762387;64762515;-;
hsa-miR-1273c;72;6.16;6;154853360;154853436;+;
hsa-miR-1273c-3p:Novel;6;1.55;6;154853360;154853436;+;
hsa-miR-1273h-3p;2;0.00;16;24203116;24203231;+;
hsa-miR-1273h-5p;30;3.26;16;24203116;24203231;+;
hsa-miR-1275;0;0.00;6;33999972;34000051;-;
hsa-miR-1275-3p:Novel;136;11.52;6;33999972;34000051;-;
hsa-miR-1276;2;0.60;15;85770496;85770578;-;
hsa-miR-1276-3p:Novel;53;3.29;15;85770496;85770578;-;
hsa-miR-1277-3p;1;0.00;X;118386394;118386471;+;
hsa-miR-1277-5p;0;0.00;X;118386394;118386471;+;
hsa-miR-1278;4;0.00;1;193136503;193136583;+;
hsa-miR-1278-5p:Novel;0;0.00;1;193136503;193136583;+;
hsa-miR-1279;1;0.00;12;69273157;69273218;-;
hsa-miR-1279-3p:Novel;2;0.00;12;69273157;69273218;-;
hsa-miR-128-1-5p;68;5.58;2;135665397;135665478;+;
hsa-miR-128-2-5p;54;4.38;3;35744476;35744559;+;
hsa-miR-128-3p;151;13.32;3;35744476;35744559;+;
hsa-miR-1281;95;6.17;22;41092513;41092566;+;
hsa-miR-1281-5p:Novel;82;5.38;22;41092513;41092566;+;
hsa-miR-1282;79;7.35;15;43793659;43793759;-;
hsa-miR-1282-3p:Novel;84;7.09;15;43793659;43793759;-;
hsa-miR-1283;53;3.99;19;53758232;53758318;+;
hsa-miR-1283-1-3p:Novel;5;0.00;19;53688481;53688567;+;
hsa-miR-1283-2-3p:Novel;2;0.34;19;53758232;53758318;+;
hsa-miR-1284;164;15.66;3;71541970;71542089;-;
hsa-miR-1284-3p:Novel;0;0.00;3;71541970;71542089;-;
hsa-miR-1285-2:Novel;27;2.96;2;70252918;70253005;-;
hsa-miR-1285-3p;169;14.56;2;70252918;70253005;-;
hsa-miR-1285-5p;89;7.23;7;92204015;92204098;-;
hsa-miR-1286;85;5.33;22;20249134;20249211;-;
hsa-miR-1286-5p:Novel;14;1.40;22;20249134;20249211;-;
hsa-miR-1287-3p;1;0.00;10;98395218;98395307;-;
hsa-miR-1287-5p;211;28.69;10;98395218;98395307;-;
hsa-miR-1288-3p;93;7.41;17;16282014;16282088;+;
hsa-miR-1288-5p;190;24.22;17;16282014;16282088;+;
hsa-miR-1289;44;4.76;5;133427596;133427706;-;
hsa-miR-1289-1-5p:Novel;31;3.10;20;35453954;35454097;-;
hsa-miR-1289-2-5p:Novel;14;1.97;5;133427596;133427706;-;
hsa-miR-129-3p;1;0.29;11;43581394;43581483;+;
hsa-miR-129-5p;33;3.97;11;43581394;43581483;+;
hsa-miR-1290;4;0.92;1;18897071;18897148;-;
hsa-miR-1290-5p:Novel;176;27.98;1;18897071;18897148;-;
hsa-miR-1291;18;1.09;12;48654444;48654530;-;
hsa-miR-1291-3p:Novel;149;14.45;12;48654444;48654530;-;
hsa-miR-1292-3p;1;0.00;20;2652777;2652842;+;
hsa-miR-1292-5p;62;4.20;20;2652777;2652842;+;
hsa-miR-1293;147;13.95;12;50234142;50234212;-;
hsa-miR-1293-3p:Novel;13;1.88;12;50234142;50234212;-;
hsa-miR-1294;106;8.58;5;154347106;154347247;+;
hsa-miR-1294-3p:Novel;54;3.83;5;154347106;154347247;+;
hsa-miR-1295a;15;3.41;1;171101728;171101806;-;
hsa-miR-1295a-5p:Novel;16;1.04;1;171101728;171101806;-;
hsa-miR-1295b-3p;28;3.49;1;171101739;171101798;+;
hsa-miR-1295b-5p;3;0.00;1;171101739;171101798;+;
hsa-miR-1296-3p;16;1.72;10;63372957;63373048;-;
hsa-miR-1296-5p;6;0.00;10;63372957;63373048;-;
hsa-miR-1297;2;0.00;13;54311972;54312048;-;
hsa-miR-1297-5p:Novel;5;0.00;13;54311972;54312048;-;
hsa-miR-1298-3p;18;0.58;X;114715233;114715344;+;
hsa-miR-1298-5p;3;0.00;X;114715233;114715344;+;
hsa-miR-1299;5;0.55;9;40929010;40929092;-;
hsa-miR-1299-5p:Novel;17;1.85;9;40929010;40929092;-;
hsa-miR-1301-3p;16;2.07;2;25328640;25328721;-;
hsa-miR-1301-5p;10;0.76;2;25328640;25328721;-;
hsa-miR-1302;232;77.62;19;71973;72110;+;
hsa-miR-1302-3-5p:Novel;0;0.00;2;113582959;113583096;-;
hsa-miR-1302-4-5p:Novel;44;1.65;2;207269275;207269424;-;
hsa-miR-1302-5-5p:Novel;3;0.00;20;50614636;50614785;-;
hsa-miR-1302-6-5p:Novel;0;0.00;7;18127220;18127309;-;
hsa-miR-1302-7-5p:Novel;1;0.00;8;141786242;141786313;-;
hsa-miR-1302-8-5p:Novel;8;1.02;9;97363554;97363681;-;
hsa-miR-1302:Novel;13;1.19;1;30366;30503;+;
hsa-miR-1303;28;1.44;5;154685776;154685861;+;
hsa-miR-1303-5p:Novel;14;2.04;5;154685776;154685861;+;
hsa-miR-1304-3p;13;0.83;11;93733674;93733764;-;
hsa-miR-1304-5p;6;0.80;11;93733674;93733764;-;
hsa-miR-1305;3;0.00;4;182169293;182169378;+;
hsa-miR-1305-5p:Novel;27;0.36;4;182169293;182169378;+;
hsa-miR-1306-3p;168;27.29;22;20086058;20086142;+;
hsa-miR-1306-5p;14;2.45;22;20086058;20086142;+;
hsa-miR-1307-3p;117;10.11;10;103394253;103394401;-;
hsa-miR-1307-5p;3;0.22;10;103394253;103394401;-;
hsa-miR-130a-3p;2;0.00;11;57641198;57641286;+;
hsa-miR-130a-5p;4;0.17;11;57641198;57641286;+;
hsa-miR-130b-3p;26;3.55;22;21653304;21653385;+;
hsa-miR-130b-5p;5;0.00;22;21653304;21653385;+;
hsa-miR-132-3p;3;0.00;17;2049908;2050008;-;
hsa-miR-132-5p;3;0.00;17;2049908;2050008;-;
hsa-miR-1321;0;0.00;X;85835780;85835858;+;
hsa-miR-1321-5p:Novel;7;0.00;X;85835780;85835858;+;
hsa-miR-1322;2;0.00;8;10825373;10825443;-;
hsa-miR-1322-5p:Novel;9;0.84;8;10825373;10825443;-;
hsa-miR-1323;2;0.00;19;53671968;53672040;+;
hsa-miR-1323-3p:Novel;3;0.67;19;53671968;53672040;+;
hsa-miR-1324;142;14.00;3;75630763;75630858;+;
hsa-miR-1324-5p:Novel;24;0.85;3;75630763;75630858;+;
hsa-miR-133a-3p;7;0.95;20;62564912;62565013;+;
hsa-miR-133a-5p;69;5.29;20;62564912;62565013;+;
hsa-miR-133b;80;6.61;6;52148923;52149041;+;
hsa-miR-133b-5p:Novel;58;5.68;6;52148923;52149041;+;
hsa-miR-134-3p;1;0.00;14;101054687;101054759;+;
hsa-miR-134-5p;62;4.96;14;101054687;101054759;+;
hsa-miR-1343-3p;1;0.00;11;34941837;34941920;+;
hsa-miR-1343-5p;7;1.88;11;34941837;34941920;+;
hsa-miR-135a-2-3p;2;0.83;12;97563812;97563911;+;
hsa-miR-135a-3p;0;0.00;3;52294219;52294308;-;
hsa-miR-135a-5p;10;1.87;12;97563812;97563911;+;
hsa-miR-135b-3p;2;0.26;1;205448302;205448398;-;
hsa-miR-135b-5p;1;0.00;1;205448302;205448398;-;
hsa-miR-136-3p;1;0.00;14;100884702;100884783;+;
hsa-miR-136-5p;10;0.80;14;100884702;100884783;+;
hsa-miR-137-3p;193;21.89;1;98046070;98046171;-;
hsa-miR-137-5p;45;2.73;1;98046070;98046171;-;
hsa-miR-138-1-3p;0;0.00;3;44114212;44114310;+;
hsa-miR-138-2-3p;0;0.00;16;56858518;56858601;+;
hsa-miR-138-5p;40;4.38;16;56858518;56858601;+;
hsa-miR-139-3p;11;0.87;11;72615063;72615130;-;
hsa-miR-139-5p;16;0.00;11;72615063;72615130;-;
hsa-miR-140-3p;14;0.73;16;69933081;69933180;+;
hsa-miR-140-5p;1;0.00;16;69933081;69933180;+;
hsa-miR-141-3p;54;4.45;12;6964097;6964191;+;
hsa-miR-141-5p;6;0.69;12;6964097;6964191;+;
hsa-miR-142-3p;14;0.39;17;58331232;58331318;-;
hsa-miR-142-5p;14;0.46;17;58331232;58331318;-;
hsa-miR-143-3p;188;20.82;5;149428918;149429023;+;
hsa-miR-143-5p;1;0.00;5;149428918;149429023;+;
hsa-miR-144-3p;15;1.15;17;28861533;28861618;-;
hsa-miR-144-5p;9;0.11;17;28861533;28861618;-;
hsa-miR-145-3p;14;0.83;5;149430646;149430733;+;
hsa-miR-145-5p;3;0.00;5;149430646;149430733;+;
hsa-miR-1468-3p;0;0.00;X;63786002;63786087;-;
hsa-miR-1468-5p;1;0.00;X;63786002;63786087;-;
hsa-miR-1469;5;0.00;15;96333261;96333307;+;
hsa-miR-1469-3p:Novel;123;11.63;15;96333261;96333307;+;
hsa-miR-146a-3p;0;0.00;5;160485352;160485450;+;
hsa-miR-146a-5p;37;3.19;5;160485352;160485450;+;
hsa-miR-146b-3p;63;2.76;10;102436512;102436584;+;
hsa-miR-146b-5p;36;3.32;10;102436512;102436584;+;
hsa-miR-1470;11;1.27;19;15449548;15449608;+;
hsa-miR-1470-3p:Novel;25;2.52;19;15449548;15449608;+;
hsa-miR-1471;2;0.00;2;231892242;231892298;-;
hsa-miR-1471-3p:Novel;60;4.39;2;231892242;231892298;-;
hsa-miR-147a;7;1.08;9;120244979;120245050;-;
hsa-miR-147a-5p:Novel;64;5.35;9;120244979;120245050;-;
hsa-miR-147b-3p;4;0.60;15;45433050;45433129;+;
hsa-miR-147b-5p;5;0.00;15;45433050;45433129;+;
hsa-miR-148a-3p;140;15.35;7;25949919;25949986;-;
hsa-miR-148a-5p;36;1.93;7;25949919;25949986;-;
hsa-miR-148b-3p;10;0.42;12;54337216;54337314;+;
hsa-miR-148b-5p;13;1.06;12;54337216;54337314;+;
hsa-miR-149-3p;171;19.58;2;240456001;240456089;+;
hsa-miR-149-5p;1;0.00;2;240456001;240456089;+;
hsa-miR-150-3p;43;4.27;19;49500785;49500868;-;
